Date,Ticker,Trade Type,Shares Bought,Shares Sold,Price,RSI Value,Volume,Profit
2013-12-31,KR,0,506.0,0,19.752500534057617,33.91083810755431,4992000,0
2013-12-31,RSG,0,301.0,0,33.244998931884766,37.19498720717186,1121400,0
2013-12-31,KMX,0,213.0,0,46.96000099182129,35.463013105012536,1165000,0
2014-01-02,DGX,0,188.0,0,53.125,28.464134264156357,2856300,0
2014-01-02,KIM,0,507.0,0,19.735000610351562,32.49832206736744,2627300,0
2014-01-03,JNJ,0,109.0,0,91.7400016784668,44.86192873395838,5637600,0
2014-01-03,PG,0,124.0,0,80.52000045776367,38.20777715092838,6925600,0
2014-01-03,COST,0,85.0,0,117.74499893188477,36.035153562839895,1293500,0
2014-01-03,CME,0,127.0,0,78.68000030517578,46.829387617624334,1343300,0
2014-01-10,KIM,1,0,507.0,20.3799991607666,56.54903598207053,3485200,327.0142650604248
2014-01-10,MRO,0,291.0,0,34.47500038146973,42.74656070947603,5967000,0
2014-01-15,F,1,0,652.0,16.539999961853027,65.29449419880541,64118200,779.1398010253906
2014-01-15,DLTR,0,182.0,0,55.114999771118164,36.992103805947266,2145500,0
2014-02-18,RSG,9,0,301.0,33.88999938964844,61.500021127399656,3213700,194.14513778686523
2014-02-18,A,0,276.0,0,39.69957160949707,38.08555032300898,9161513,0
2014-02-19,KR,1,0,506.0,19.074999809265137,63.12841200280916,11245200,-342.8153667449951
2014-02-19,KSU,0,108.0,0,92.19499969482422,23.40402446008997,2314800,0
2014-02-27,DLTR,1,0,182.0,55.125,63.93191719246178,4322500,1.8200416564941406
2014-02-27,WST,0,218.0,0,45.869998931884766,37.49901166342676,213900,0
2014-03-19,DGX,1,0,188.0,55.70000076293945,69.90285723758815,2554300,484.1001434326172
2014-03-19,EXPD,0,262.0,0,38.69499969482422,34.03154556021079,2102700,0
2014-03-26,JNJ,9,0,109.0,97.76000213623047,68.68864211895851,11215100,656.1800498962402
2014-03-26,GOOG,0,18.0,0,573.617431640625,32.89017156663493,5179341,0
2014-03-28,CME,9,0,127.0,74.22000122070312,40.139501146827286,931000,-566.4198837280273
